Driver,QualifyingTime (s),Team,AvgRaceTime (s),Temperature (°C),Humidity (%),Pressure (mbar),Rainfall (mm),TrackTemp (°C),Date,Year,GP,DriverHistoricalAvg (s),Driver_Dry_Perf,Driver_Damp_Perf,Driver_Wet_Perf,Driver_Cold_Perf,Driver_Mid_Perf,Driver_Hot_Perf,Driver_HighDownforce_Perf,Driver_LowDownforce_Perf,DriverEloBefore,ConstructorEloBefore
RIC,91.948,Red Bull Racing,100.41384905660378,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.70216793806463,50.92169993822845,41.91938178780284,45.45614035087719,43.50877192982456,49.00186998964838,52.16417268661851,50.0,50.0,1644.0,1562.029048543495
HUL,92.532,Renault,101.85929629629629,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,93.4683945017006,35.60777094030161,30.454545454545453,57.60818713450293,30.529411764705884,36.10186819440024,39.94582043343653,50.0,50.0,1572.9147062675104,1493.1119119664256
PER,92.758,Force India,103.10952727272728,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.42792311069464,61.65192622384255,64.03617402639726,57.91812865497077,68.47303443794672,61.37567183150479,60.2192200644213,50.0,50.0,1404.5573583944774,1424.5694468504207
SAI,92.819,Renault,102.13012962962964,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.21061462460975,59.19118363719757,58.86101809144711,31.642300194931774,62.33552631578947,58.05333944953554,64.57679124281292,50.0,50.0,1498.7361670115351,1493.1119119664256
GRO,92.855,Haas F1 Team,103.54534545454545,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,94.41405391541633,30.396661588612055,26.0,44.91228070175439,27.499999999999996,31.536584744359082,39.56140350877193,50.0,50.0,1359.4385046390341,1575.4305531495793
MAG,92.986,Haas F1 Team,103.06607272727273,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,94.44698939881275,28.186013613014694,31.71826625386997,15.479532163742693,26.14522417153996,29.325211018146565,32.94117647058823,50.0,50.0,1658.4682202415024,1575.4305531495793
OCO,93.057,Force India,103.10381818181818,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,93.18457805765468,40.86084476372733,44.54013184221057,54.09774436090226,48.65966163179785,41.24747267327984,37.40310744180713,50.0,50.0,1441.0159424706849,1424.5694468504207
ALO,93.232,McLaren,102.88872727272728,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,93.19460423358457,44.316031003666865,42.85714285714286,30.185185185185187,39.674540381454726,44.29935515873016,41.67070489523041,50.0,50.0,1392.7340915311229,1410.8880880335744
VAN,93.505,McLaren,103.17678181818182,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,94.771784732658,23.238626590987273,20.44117647058824,20.0,50.0,23.51204809409144,12.280701754385968,50.0,50.0,1350.7338016177366,1410.8880880335744
HAR,93.795,Toro Rosso,102.04127083333333,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,95.59666113464935,29.231563070572356,37.205882352941174,44.99999999999999,50.0,28.62286435041853,25.92105263157895,50.0,50.0,1414.9672703342815,1514.9209612747618
SIR,94.062,Williams,103.34263636363637,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,94.0195644298882,16.94484577456714,13.82352941176471,85.0,50.0,19.840987272101824,3.42105263157895,50.0,50.0,1170.3217125038084,1309.970951456505
GAS,94.101,Toro Rosso,102.18018518518518,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,93.20445222933414,40.38484336753405,50.93077120044694,38.51608187134503,41.51515151515151,41.723387052189295,41.031131750945995,50.0,50.0,1538.4349334383612,1514.9209612747618
STR,94.285,Williams,103.325,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,93.09350717650615,36.1061323906103,34.75969335102462,48.99331662489557,31.93378052975576,36.26209096577227,31.149611160253578,50.0,50.0,1170.0266874933434,1309.970951456505
LEC,94.454,Sauber,101.69543396226416,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,92.65857434074587,68.4439419525966,57.01017249004865,57.2843567251462,69.99484004127967,66.40377852132463,74.7560326924792,50.0,50.0,1166.6076553019136,1303.2688850320494
ERI,94.914,Sauber,101.3952075471698,19.446428571428573,24.089285714285715,1018.1312500000001,0.0,37.01964285714286,2018-04-15,2018,Chinese Grand Prix,94.52714720541212,34.24901100791194,11.764705882352942,55.0,50.0,35.41042147853294,45.0,50.0,50.0,1243.212370852182,1303.2688850320494
VET,101.498,Ferrari,107.9724358974359,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.50001230802171,56.082192409127394,55.84986221209131,66.60818713450291,54.45697577276525,57.26731415585905,60.93739250085999,50.0,50.0,1958.9164449579914,1775.1256652656496
HAM,101.677,Mercedes,108.11515384615385,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,91.56060090534528,77.1266889700948,79.17222870009248,75.87353801169591,68.44028520499108,76.61492961540628,72.33056599832915,50.0,50.0,1827.8208357639828,1734.7315251498726
BOT,101.837,Mercedes,107.37236111111112,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.46565817417928,55.985563737111725,53.52778230405736,46.4327485380117,30.474333983105915,54.58378394616679,54.76742561059512,50.0,50.0,1845.703538888355,1734.7315251498726
RIC,101.911,Red Bull Racing,108.47258823529413,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.70216793806463,50.92169993822845,41.91938178780284,45.45614035087719,43.50877192982456,49.00186998964838,52.16417268661851,50.0,50.0,1691.854132088634,1617.0530263389958
VER,101.994,Red Bull Racing,108.46444117647059,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,91.83299536590845,81.49326788856763,83.12763861525471,80.40204678362574,84.39644119210683,80.96251168640958,78.6787639032221,50.0,50.0,1731.5628633840429,1617.0530263389958
RAI,102.49,Ferrari,109.98387499999998,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.80594805568445,42.90863771450484,32.64411027568922,44.385964912280706,32.473684210526315,42.24761036791112,51.19658119658119,50.0,50.0,1917.4372808793767,1775.1256652656496
PER,102.547,Force India,109.940325,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.42792311069464,61.65192622384255,64.03617402639726,57.91812865497077,68.47303443794672,61.37567183150479,60.2192200644213,50.0,50.0,1546.8547452390656,1470.4878222584637
HUL,103.066,Renault,111.7814,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,93.4683945017006,35.60777094030161,30.454545454545453,57.60818713450293,30.529411764705884,36.10186819440024,39.94582043343653,50.0,50.0,1634.3670262812982,1543.7084210427513
SAI,103.351,Renault,110.35117499999998,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.21061462460975,59.19118363719757,58.86101809144711,31.642300194931774,62.33552631578947,58.05333944953554,64.57679124281292,50.0,50.0,1545.78071977478,1543.7084210427513
STR,103.585,Williams,110.866025,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,93.09350717650615,36.1061323906103,34.75969335102462,48.99331662489557,31.93378052975576,36.26209096577227,31.149611160253578,50.0,50.0,1128.4998380205604,1269.665621599669
ALO,104.019,McLaren,110.6413,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,93.19460423358457,44.316031003666865,42.85714285714286,30.185185185185187,39.674540381454726,44.29935515873016,41.67070489523041,50.0,50.0,1382.823102800091,1398.1237289976525
LEC,104.074,Sauber,110.75802564102564,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,92.65857434074587,68.4439419525966,57.01017249004865,57.2843567251462,69.99484004127967,66.40377852132463,74.7560326924792,50.0,50.0,1094.6787592834662,1233.166876355922
MAG,104.759,Haas F1 Team,113.28834146341464,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,94.44698939881275,28.186013613014694,31.71826625386997,15.479532163742693,26.14522417153996,29.325211018146565,32.94117647058823,50.0,50.0,1537.3942928156505,1529.2030056748285
VAN,104.489,McLaren,113.55809523809523,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,94.771784732658,23.238626590987273,20.44117647058824,20.0,50.0,23.51204809409144,12.280701754385968,50.0,50.0,1335.9749718589985,1398.1237289976525
GAS,104.496,Toro Rosso,112.80526829268291,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,93.20445222933414,40.38484336753405,50.93077120044694,38.51608187134503,41.51515151515151,41.723387052189295,41.031131750945995,50.0,50.0,1302.779020187601,1428.7343073161949
ERI,105.541,Sauber,116.14775555555556,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,94.52714720541212,34.24901100791194,11.764705882352942,55.0,50.0,35.41042147853294,45.0,50.0,50.0,1100.4062583768646,1233.166876355922
HAR,117.354,Toro Rosso,112.603375,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,95.59666113464935,29.231563070572356,37.205882352941174,44.99999999999999,50.0,28.62286435041853,25.92105263157895,50.0,50.0,1326.3618522044837,1428.7343073161949
GRO,84.475,Haas F1 Team,110.32069444444444,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,2018-04-29,2018,Azerbaijan Grand Prix,94.41405391541633,30.396661588612055,26.0,44.91228070175439,27.499999999999996,31.536584744359082,39.56140350877193,50.0,50.0,1608.7027821358597,1529.2030056748285
HAM,76.173,Mercedes,85.40671875,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,91.56060090534528,77.1266889700948,79.17222870009248,75.87353801169591,68.44028520499108,76.61492961540628,72.33056599832915,50.0,50.0,1908.4586308673124,1765.0658656388619
BOT,76.213,Mercedes,85.678171875,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,92.46565817417928,55.985563737111725,53.52778230405736,46.4327485380117,30.474333983105915,54.58378394616679,54.76742561059512,50.0,50.0,1887.0238405706393,1765.0658656388619
VET,76.305,Ferrari,85.82003125,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,92.50001230802171,56.082192409127394,55.84986221209131,66.60818713450291,54.45697577276525,57.26731415585905,60.93739250085999,50.0,50.0,2023.2334682470125,1826.234522705882
RAI,76.612,Ferrari,93.1474347826087,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,92.80594805568445,42.90863771450484,32.64411027568922,44.385964912280706,32.473684210526315,42.24761036791112,51.19658119658119,50.0,50.0,1835.6441323133586,1826.234522705882
VER,76.816,Red Bull Racing,85.742796875,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,91.83299536590845,81.49326788856763,83.12763861525471,80.40204678362574,84.39644119210683,80.96251168640958,78.6787639032221,50.0,50.0,1758.7570093872514,1653.5608220733536
RIC,76.818,Red Bull Racing,86.08671875,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,92.70216793806463,50.92169993822845,41.91938178780284,45.45614035087719,43.50877192982456,49.00186998964838,52.16417268661851,50.0,50.0,1769.8567839842178,1653.5608220733536
MAG,77.676,Haas F1 Team,86.92490476190477,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,94.44698939881275,28.186013613014694,31.71826625386997,15.479532163742693,26.14522417153996,29.325211018146565,32.94117647058823,50.0,50.0,1340.1928913070922,1373.923421491394
ALO,77.721,McLaren,87.46238095238095,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,93.19460423358457,44.316031003666865,42.85714285714286,30.185185185185187,39.674540381454726,44.29935515873016,41.67070489523041,50.0,50.0,1390.182751893292,1387.8077046429178
SAI,77.79,Renault,87.4861746031746,16.050476190476193,52.28666666666667,1001.5419047619047,0.35,32.33904761904761,2018-05-13,2018,Spanish Grand Prix,92.21061462460975,59.19118363719757,58.86101809144711,31.642300194931774,62.33552631578947,58.05333944953554,64.57679124281292,50.0,50.0,1536.3469963215623,1542.9875904220091
